id,title,url,access_date,authors_org,type,code_repo_yes_no,ros_package_names,license,tags,summary,exact_file_paths_line_ranges,integration_difficulty,recommended_integration_actions,confidence_flag
R001,Slamtec Aurora ROS SDK,https://github.com/Slamtec/aurora_ros,2026-02-28,Slamtec,repo,yes,slamware_ros_sdk,Unknown/inspect repo,"aurora,ros,slam",Official Aurora ROS SDK repository with ROS/ROS2 branches and slamware server node connectivity workflow. Primary source for Aurora topic semantics and launch conventions.,README.md (repo root); ros2 branch docs to inspect,4,Track upstream ros2 branch updates; align local launch parameters and frame conventions.,high
R002,Nav2 Documentation,https://docs.nav2.org/,2026-02-28,Open Navigation / ROS Nav2 maintainers,doc,yes,"nav2_bringup,nav2_bt_navigator,nav2_controller",Open-source docs (check repo license),"nav2,planning,bt,recovery","Production-grade ROS2 navigation stack docs covering lifecycle, behavior trees, planners, controllers, and recoveries. Critical for object-relative approach and robust recoveries.",Concepts + Plugins + Recovery behavior docs pages,5,Use BT Navigator with custom subtree for tire approach and reacquisition recovery hooks.,high
R003,micro-ROS Homepage,https://micro.ros.org/,2026-02-28,micro-ROS / eProsima,doc,yes,"micro_ros_setup,micro_ros_agent",Apache-2.0 ecosystem,"esp32,micro-ros,embedded",micro-ROS architecture and tooling for MCU integration with ROS2. Suitable for replacing ad-hoc serial parsing with typed DDS endpoints on ESP32.,micro_ros_setup docs + tutorials pages,6,Evaluate migration path from JSON UART to micro-ROS pub/sub for wheel odom and motor command APIs.,high
R004,Ultralytics YOLO,https://github.com/ultralytics/ultralytics,2026-02-28,Ultralytics,repo,yes,n/a,AGPL-3.0 or enterprise,"yolo,onnx,tensorrt,jetson",Widely used YOLO framework with export to ONNX and TensorRT pathways. Includes model families and deployment guidance relevant to Jetson acceleration.,README.md; docs export/inference sections,5,"Pin compatible model version, export to ONNX, benchmark TensorRT FP16 and optionally INT8 with validation gates.",high
R005,NVIDIA CUDA-PointPillars,https://github.com/NVIDIA-AI-IOT/CUDA-PointPillars,2026-02-28,NVIDIA AI-IOT,repo,yes,n/a,NVIDIA source license (check LICENSE/NOTICE),"lidar,pointpillars,tensorrt,jetson",TensorRT-oriented PointPillars inference implementation with Orin performance references. Strong baseline for real-time 3D vehicle detection on Jetson.,README.md; tool/build_trt_engine.sh; src/*,7,Prototype offline inference on Aurora pointcloud schema; add ROS2 wrapper and latency profiler.,high
R006,CenterPoint 3D Detection and Tracking,https://github.com/tianweiy/CenterPoint,2026-02-28,Tianwei Yin et al.,repo,yes,n/a,MIT (with upstream notices),"centerpoint,tracking,lidar,onnx",Research-grade but influential center-based 3D detection and tracking with known TensorRT conversion forks. Useful for multi-object tracking and persistent IDs.,README.md; docs/INSTALL.md; configs/*,8,Use as algorithm reference and evaluate maintained TensorRT forks for production feasibility on Orin.,medium
R007,Waveshare UGV Rover Jetson Orin ROS2,https://www.waveshare.com/wiki/UGV_Rover_Jetson_Orin_ROS2,2026-02-28,Waveshare,doc,yes,"ugv_base_driver,ugv_nav",Vendor wiki license,"waveshare,jetson,ugv","Vendor hardware integration references for Jetson UGV ROS2 wiring, serial/motor setup, and launch practices.",N/A (external reference),5,Use as implementation and validation reference in Jetson integration work.,high
R008,robot_localization,https://github.com/cra-ros-pkg/robot_localization,2026-02-28,cra-ros-pkg,repo,yes,robot_localization,BSD-3-Clause,"ekf,ukf,state_estimation",Canonical ROS package for fusing odometry/IMU/pose into stable state estimate for Nav2 and mission planning.,N/A (external reference),5,Use as implementation and validation reference in Jetson integration work.,high
R009,NVIDIA TensorRT Docs,https://developer.nvidia.com/tensorrt,2026-02-28,NVIDIA,doc,yes,n/a,NVIDIA docs terms,"tensorrt,jetson,inference","Primary reference for ONNX to TensorRT optimization, precision trade-offs, and deployment tooling.",N/A (external reference),5,Use as implementation and validation reference in Jetson integration work.,high
R010,Jetson Downloads and JetPack,https://developer.nvidia.com/embedded/downloads,2026-02-28,NVIDIA,doc,no,n/a,NVIDIA terms,"jetpack,jetson,drivers",Authoritative source for JetPack compatibility and system images affecting CUDA/TensorRT stack.,N/A (external reference),5,Use as implementation and validation reference in Jetson integration work.,high
R011,ROS2 lifecycle and SQLite persistence references,https://docs.ros.org/en/rolling/p/lifecycle,2026-02-28,ROS 2 docs,doc,yes,"rclcpp_lifecycle,warehouse_ros_sqlite",ROS docs license,"lifecycle,persistence,sqlite",Reference for managed node state transitions and persistence-friendly lifecycle behavior in ROS2 mission services.,lifecycle docs + warehouse_ros_sqlite docs,4,Adopt lifecycle-safe startup/resume and persistent state transitions for mission manager.,high
R012,Nav2 RecoveryNode retry patterns,https://docs.nav2.org/configuration/packages/bt-plugins/controls/RecoveryNode.html,2026-02-28,Nav2 maintainers,doc,yes,nav2_bt_navigator,Nav2 docs license,"nav2,behavior_tree,recovery,retries",Canonical retry control pattern for planner/controller recoveries and bounded retries in Nav2 behavior trees.,"RecoveryNode docs, nav_to_pose_recovery tree docs",5,Mirror bounded retry semantics in tire approach and final alignment recoveries.,high
